almost, 几乎, 差不多
allow, 允许, 容许
answer, 答案, 回答
anyone, 任何人, 任一人
area, 区域, 地区

baby, 婴儿, 宝贝
base, 基础, 基地
beautiful, 美丽的, 漂亮的
book, 书, 预订
boy, 男孩, 少年
brother, 兄弟, 弟兄
build, 建造, 构建

click, 点击, 发出轻响
color, 颜色, 着色
company, 公司, 伴侣
continue, 继续, 持续
control, 控制, 管理
cookie, 饼干, 曲奇
country, 国家, 乡村
cut, 切割, 减少

deal, 交易, 处理
drive, 驾驶, 驱动
drink, 饮料, 喝
during, 在...期间, 在...中
easy, 容易, 轻松的
enjoy, 享受, 喜欢
example, 例子, 样本
exactly, 确切地, 精确地
experience, 经验, 经历

fact, 事实, 实情
fall, 落下, 秋天
father, 父亲, 老板（俚语）
fight, 战斗, 争吵
finish, 完成, 结束
forget, 忘记, 忽略
free, 免费, 自由
fuck, 去他妈的, 性交
fun, 乐趣, 有趣的
full, 满的, 完全的
grow, 成长, 增长
guess, 猜测, 推测
heart, 心脏, 心灵
hi, 嗨, 你好
hit, 打击, 命中
hour, 小时, 时刻
include, 包括, 涵盖
inside, 内部, 里面
light, 光, 轻的
later, 以后, 稍后
least, 最少, 至少
level, 水平, 层级
listen, 听, 聆听
matter, 事情, 物质
moment, 瞬间, 时刻
morning, 早晨, 上午
mother, 母亲, 妈妈
move, 移动, 搬动
myself, 我自己, 本人
offer, 提供, 报价
party, 派对, 政党
phone, 电话, 手机
pick, 挑选, 摘取
plan, 计划, 打算
post, 邮件, 岗位
product, 产品, 产物
provide, 提供, 供应
prueba, 测试, 证明
quite, 相当, 完全
re, 关于, 再
reason, 原因, 理由
save, 保存, 节省
service, 服务, 维修
share, 分享, 分担
sit, 坐, 就座
sleep, 睡觉, 睡眠
small, 小的, 少量的
son, 儿子, 后代
stand, 站立, 支持
step, 步骤, 脚步
story, 故事, 新闻
stuff, 东西, 材料
support, 支持, 支柱
system, 系统, 体系
true, 真实的, 正确的
type, 类型, 打字
until, 直到, 直至
user, 用户, 使用者
ver, 看, 观看
walk, 走路, 漫步
wear, 穿戴, 磨损
website, 网站, 网页
whatever, 无论什么, 随便
wow, 哇, 惊叹
worry, 担心, 烦恼
yet, 还, 然而
