ago, 以前, 从前
ah, 啊, 哦
along, 沿着, 顺着
alone, 独自的, 单独的
amazing, 惊人的, 奇妙的
anyway, 无论如何, 不管怎样
black, 黑色, 黑暗的
begin, 开始, 开头
behind, 在...后面, 落后于

catch, 抓住, 赶上
chance, 机会, 可能性
chuckle, 轻笑, 暗自笑
city, 城市, 都市
class, 班级, 课程
clear, 清晰的, 明确的
comment, 评论, 评价
couple, 夫妇, 一对
crazy, 疯狂的, 荒唐的
cover, 覆盖, 遮蔽

data, 数据, 资料
date, 日期, 约会
dead, 死的, 无生命的
decide, 决定, 选定
definitely, 绝对, 肯定
design, 设计, 构思
dog, 狗, 宠物
dream, 梦想, 梦

either, 任一, 两者之一
everybody, 每个人, 人人
expect, 期望, 期待
finally, 最后, 终于
fire, 火, 点燃
foot, 脚, 英尺
form, 形式, 形状
front, 前面, 正面
future, 未来, 将来

group, 团体, 组
hair, 头发, 毛发
half, 一半, 半数
hot, 热的, 辣的
human, 人类, 人的
hurt, 伤害, 疼痛
issue, 问题, 争论

law, 法律, 法规
late, 晚的, 迟的
lead, 带领, 引导
less, 更少的, 较少的
link, 链接, 关联
list, 清单, 名单
miss, 想念, 错过
often, 经常, 常常
outside, 外面, 在外

past, 过去, 以往
perfect, 完美的, 理想的
picture, 图片, 照片
piece, 块, 片
pm, 下午, 傍晚
possible, 可能的, 可行的
price, 价格, 价钱
process, 过程, 流程
pull, 拉, 拽

receive, 接收, 收到
report, 报告, 汇报
rest, 休息, 剩余的
return, 返回, 归还
result, 结果, 成果
sell, 卖, 销售
sign, 标志, 信号
sigh, 叹息, 叹气
sir, 先生, 阁下

site, 地点, 场所
song, 歌曲, 歌
sort, 种类, 分类
space, 空间, 太空
special, 特别的, 特殊的
spend, 花费, 消耗
state, 状态, 州
store, 商店, 储存
student, 学生, 学徒
study, 学习, 研究
suppose, 假设, 认为

test, 测试, 试验
term, 术语, 学期
tomorrow, 明天, 未来
value, 价值, 重要性
visit, 拜访, 访问
welcome, 欢迎, 款待
whether, 是否, 无论
white, 白色的, 纯洁的
wife, 妻子, 太太
wish, 希望, 祝愿
within, 在...之内, 在...里面
young, 年轻的, 青年的
